classification,reporter_code,reporter_iso3,reporter,partner_code,partner_iso3,partner,partner_is_group,flow,year,cmd_code,trade_value,is_reported_api_field,is_aggregate_api_field,source_flag,fetched_at_utc
H5,458,MYS,Malaysia,531,CUW,Curaçao,False,M,2017,8542,9340.334,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,554,NZL,New Zealand,False,M,2017,8542,369258.108,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,579,NOR,Norway,False,M,2017,8542,17170837.514,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,586,PAK,Pakistan,False,M,2017,8542,2353.652,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,591,PAN,Panama,False,M,2017,8542,491.964,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,598,PNG,Papua New Guinea,False,M,2017,8542,7947.328,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,600,PRY,Paraguay,False,M,2017,8542,6389.714,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,608,PHL,Philippines,False,M,2017,8542,911297711.828,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,616,POL,Poland,False,M,2017,8542,327251.865,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,620,PRT,Portugal,False,M,2017,8542,13235460.827,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,634,QAT,Qatar,False,M,2017,8542,7284.003,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,642,ROU,Romania,False,M,2017,8542,285134.563,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,643,RUS,Russian Federation,False,M,2017,8542,4793862.544,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,654,SHN,Saint Helena,False,M,2017,8542,1906.157,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,682,SAU,Saudi Arabia,False,M,2017,8542,1877.752,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,699,IND,India,False,M,2017,8542,3819761.382,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,702,SGP,Singapore,False,M,2017,8542,5022471888.432,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,703,SVK,Slovakia,False,M,2017,8542,1900065.505,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,704,VNM,Viet Nam,False,M,2017,8542,1328060574.28,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,705,SVN,Slovenia,False,M,2017,8542,103642.625,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,710,ZAF,South Africa,False,M,2017,8542,124006.635,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,724,ESP,Spain,False,M,2017,8542,306870.392,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,752,SWE,Sweden,False,M,2017,8542,3820067.783,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,757,CHE,Switzerland,False,M,2017,8542,14436506.481,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,764,THA,Thailand,False,M,2017,8542,679034135.525,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,784,ARE,United Arab Emirates,False,M,2017,8542,132463.623,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,792,TUR,Türkiye,False,M,2017,8542,1560342.011,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,804,UKR,Ukraine,False,M,2017,8542,9583.173,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,826,GBR,United Kingdom,False,M,2017,8542,91552449.289,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,842,USA,USA,False,M,2017,8542,5342029932.938,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,899,_X ,"Areas, nes",False,M,2017,8542,202692097.386,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,32,ARG,Argentina,False,X,2017,8542,23962.623,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,36,AUS,Australia,False,X,2017,8542,86772207.219,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,40,AUT,Austria,False,X,2017,8542,7300294.154,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,50,BGD,Bangladesh,False,X,2017,8542,32728.595,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,56,BEL,Belgium,False,X,2017,8542,43488045.243,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,68,BOL,Bolivia (Plurinational State of),False,X,2017,8542,7560.366,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,76,BRA,Brazil,False,X,2017,8542,31593988.352,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,84,BLZ,Belize,False,X,2017,8542,78886.534,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,96,BRN,Brunei Darussalam,False,X,2017,8542,213926.34,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,100,BGR,Bulgaria,False,X,2017,8542,22288918.221,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
