fetched_at_utc,document_number,api_url,detail_status,detail_path,detail_sha256,raw_text_url,raw_text_status,raw_text_path,raw_text_sha256,raw_text_bytes,source_flag,error
2026-09-14T02:45:13+00:00,2022-18268,https://www.federalregister.gov/api/v1/documents/2022-18268.json,downloaded,data/raw/bis/documents/2022-18268.json,062e04da012fa567fef69a781319f509333793b9417a0060521e9063f576b9cf,https://www.federalregister.gov/documents/full_text/text/2022/08/24/2022-18268.txt,downloaded,data/raw/bis/documents/2022-18268.txt,e4a745301e933155209bce0e556e48344f97f50e73092f95376b3dcc7d2f98be,22854,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:14+00:00,2022-19415,https://www.federalregister.gov/api/v1/documents/2022-19415.json,downloaded,data/raw/bis/documents/2022-19415.json,0385f5f292a55616484c85d52b79599d0698c389e1601bf773e46eb51dbe1e8b,https://www.federalregister.gov/documents/full_text/text/2022/09/09/2022-19415.txt,downloaded,data/raw/bis/documents/2022-19415.txt,35fafcd561282f326cd3533945372b8b7201c2dbb779b14a5a530efc17bf6409,232736,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:15+00:00,2022-19910,https://www.federalregister.gov/api/v1/documents/2022-19910.json,downloaded,data/raw/bis/documents/2022-19910.json,d7dcd1c815a4e544dd9a16e85c99a28c4bd98e30db83cb8e638926ec3ccbe8cb,https://www.federalregister.gov/documents/full_text/text/2022/09/16/2022-19910.txt,downloaded,data/raw/bis/documents/2022-19910.txt,1c295fd015c1f5410b20ee70f6262c9177d30c51fe8917d3c45edf583dd484e5,331017,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:16+00:00,2022-21520,https://www.federalregister.gov/api/v1/documents/2022-21520.json,downloaded,data/raw/bis/documents/2022-21520.json,5bebb66c998e98e88487fb2a5f4591492dce297dd24fc6d190842dd2e7c4f7c7,https://www.federalregister.gov/documents/full_text/text/2022/10/04/2022-21520.txt,downloaded,data/raw/bis/documents/2022-21520.txt,b6309b4e0fa02e646d796c1d62f7fa721978ce7750f7c8a90a68055d73bbf146,105274,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:17+00:00,2022-21658,https://www.federalregister.gov/api/v1/documents/2022-21658.json,downloaded,data/raw/bis/documents/2022-21658.json,660b49d41dfcf201645d1bf1b9b842c0b6db50ff7c16f0b705564e8af23bbb49,https://www.federalregister.gov/documents/full_text/text/2022/10/13/2022-21658.txt,downloaded,data/raw/bis/documents/2022-21658.txt,c5299886c7000d17e6e5f4ef394fde2123050836355b534548c8ed6270baf1ba,222790,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:17+00:00,2022-21714,https://www.federalregister.gov/api/v1/documents/2022-21714.json,downloaded,data/raw/bis/documents/2022-21714.json,df760e770f18a7fc1c614161e7ed408466e79912eb17caa60c1be70af08f6981,https://www.federalregister.gov/documents/full_text/text/2022/10/13/2022-21714.txt,downloaded,data/raw/bis/documents/2022-21714.txt,f6a4241237f570c08ccf69cc63ca1f218ae7ce21a8431504359bec3ae684bd91,44874,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:18+00:00,2022-22037,https://www.federalregister.gov/api/v1/documents/2022-22037.json,downloaded,data/raw/bis/documents/2022-22037.json,c0081549679308cc46190f5f22aaa17eb80e1b24c42af4dad7ea65e6cb7fb0a9,https://www.federalregister.gov/documents/full_text/text/2022/10/13/2022-22037.txt,downloaded,data/raw/bis/documents/2022-22037.txt,39570f2657b591e523c22df0ae5fe1bcd3f8d5400bea6f6108526fdabec227ce,8333,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:19+00:00,2022-25700,https://www.federalregister.gov/api/v1/documents/2022-25700.json,downloaded,data/raw/bis/documents/2022-25700.json,c2df2a12cc7637c463e2667980396760a232f7cafd31d4b5c69ec6741138ce9b,https://www.federalregister.gov/documents/full_text/text/2022/11/25/2022-25700.txt,downloaded,data/raw/bis/documents/2022-25700.txt,a4715ba1523dea36f5f2e247bce03bdc4e4e05b47c8e296ea833650911eca175,5979,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:20+00:00,2022-26662,https://www.federalregister.gov/api/v1/documents/2022-26662.json,downloaded,data/raw/bis/documents/2022-26662.json,f8cf326c330b25b42c6fa7c9d6e29119e490b388f64315d2251bd0c057945a17,https://www.federalregister.gov/documents/full_text/text/2022/12/07/2022-26662.txt,downloaded,data/raw/bis/documents/2022-26662.txt,ecca727a9b1f58a6dcca653ef1af97508ea7423871a4b41bcd12c9ee613ecee3,7023,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:21+00:00,2022-26622,https://www.federalregister.gov/api/v1/documents/2022-26622.json,downloaded,data/raw/bis/documents/2022-26622.json,8ec1cff5aed8d90a4a7dc2f50a476bb73197ad1ccfac1d7b9b27cec8a11fa98c,https://www.federalregister.gov/documents/full_text/text/2022/12/08/2022-26622.txt,downloaded,data/raw/bis/documents/2022-26622.txt,cb0c8d33c49e866070ec87932118464c3eb7c1422e2581ca59f3fcb5111cb784,43352,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:21+00:00,2022-27149,https://www.federalregister.gov/api/v1/documents/2022-27149.json,downloaded,data/raw/bis/documents/2022-27149.json,f54b1507dc467dde73f9db7909bf3f56a793870594423bb72ed6215cca478120,https://www.federalregister.gov/documents/full_text/text/2022/12/16/2022-27149.txt,downloaded,data/raw/bis/documents/2022-27149.txt,0ab9c65c07f137d91c7b398c61e8ff1348802231bafc1ba7b9a6780ff68c40fa,25088,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:22+00:00,2022-27151,https://www.federalregister.gov/api/v1/documents/2022-27151.json,downloaded,data/raw/bis/documents/2022-27151.json,64f7771c708ece801f2d9a7b596a4999f8cbf646d132241e196f53ff11565962,https://www.federalregister.gov/documents/full_text/text/2022/12/19/2022-27151.txt,downloaded,data/raw/bis/documents/2022-27151.txt,d5950c7853d4daa228870db2d377eb1b3fd308c793bf543b7c161c32798e4703,92731,Federal_Register_official_API_and_full_text,
2026-09-14T02:45:23+00:00,2022-28033,https://www.federalregister.gov/api/v1/documents/2022-28033.json,downloaded,data/raw/bis/documents/2022-28033.json,d44f3187b8d446653e12143b71b241ba1c2bf036b71f73b935185ffa8cc0793c,https://www.federalregister.gov/documents/full_text/text/2022/12/23/2022-28033.txt,downloaded,data/raw/bis/documents/2022-28033.txt,84ec51dd6c90118a98009b7e1e245d181860044ce667b9977d3b356b2c063afc,10996,Federal_Register_official_API_and_full_text,
